TIPO DE USO DO IMOVEL,count
,26
"Outras edificações de uso comercial, com utilização múltipla",147516
Residência e outro uso (predominância residencial),595522
"outras edificações do tipo (uso especial), com utilização múltipla",24600
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, cons",178032
"hotel, pensão ou hospedaria",34044
Posto de serviço,16014
residência e outro uso (predominância residencial),1680136
"outras edificações do tipo (uso coletivo), com utilização múltipla",53862
"Estação radioemissora, de televisão ou empresa jornalística",3358
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",4400
Flat de uso comercial (semelhante a hotel),167518
"outras edificações do tipo (uso serviço), com utilização múltipla",99725
Apartamento em condomínio,9337687
"residência coletiva (mais de uma residência no lote), exclusive cortiço",4131587
"cinema, teatro, casa de diversão, clube ou congênere",11621
Clube esportivo,3916
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,398219
"Outras edificações de uso especial, com utilização múltipla",8792
apartamento,18315682
garagem em edifício de uso exclusivamente residencial,3023775
oficina,224143
"Outras edificações de uso de serviço, com utilização múltipla",34599
residência,20674413
posto de serviço (combustíveis),46169
"Outras edificações de uso coletivo, com utilização múltipla",20562
terreno,2957125
"hospital, ambulatório, casa de saúde e assemelhados",27463
"Cinema, teatro, casa de diversão, clube ou congênere",3957
Loja e residência (predominância comercial),315638
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",74506
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivament,966235
Oficina,69972
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e es",13563
Cortiço,12378
"prédio com uso exclusivamente residencial, não em condomínio",32207
"garagem, em prédio de garagens",190019
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",506135
"Prédio de apartamento, não em condomínio, de uso exclusivamente residenci",10215
"Hospital, ambulatório, casa de saúde e assemelhados",9087
indústria,301974
Escola,47689
loja e residência (predominância comercial),1033966
Loja,378215
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",1424622
Residência,7520626
Garagem (exclusive em prédio em condomínio),18849
clube esportivo,11697
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",5408
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",607
loja em edifício em condomínio,436348
"outras edificações do tipo (uso comércio), com utilização múltipla",366569
templo,103959
Flat residencial em condomínio,34114
"estacionamento e garagem, não em condomínio",51448
"garagem em edifício de escritórios, consultórios ou misto",516650
Indústria,93174
Templo,40538
armazéns gerais e depósitos,165611
Escritório/consultório em condomínio (unidade autônoma),923529
"flat, não residencial",249087
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e esc",1353
escritório ou consultório,1628024
"flat, residencial",44428
"Hotel, pensão ou hospedaria",21288
"prédio com uso misto, predominância de uso residencial, não em condomínio",65564
Loja em edifício em condomínio (unidade autônoma),162987
"prédio com uso misto, predominância de uso não residencial, não em condom",4010
Terreno,758829
loja,986853
"estação radioemissora, de televisão ou empresa jornalística",4428
Garagem (unidade autônoma) de prédio de garagens,65724
"Asilo, orfanato, creche, seminário ou convento",5791
"asilo, orfanato, creche, seminário ou convento",11795
cortiço (habitação coletiva subnormal),41620
escola,135829
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",173977
Armazéns gerais e depósitos,60461
